Happy,Angry,Surprise,Sad,Fear,emotion
0.25,0.0,0.0,0.5,0.25,sad
0.0,0.0,1.0,0.0,0.0,surprise
0.060000000000000005,0.0,0.21999999999999997,0.15375,0.565,fear
0.25,0.0,0.0,0.0,0.75,fear
0.28500000000000003,0.0,0.035,0.125,0.5549999999999999,fear
0.0,0.0,0.25,0.42,0.33,sad
0.0,0.035,0.035,0.2,0.235,fear
0.125,0.10500000000000001,0.095,0.26,0.425,fear
0.105,0.035,0.105,0.43000000000000005,0.33,sad
0.13,0.0075,0.225,0.3375,0.30000000000000004,sad
0.075,0.15,0.06,0.14,0.5700000000000001,fear
0.025,0.025,0.025,0.08,0.34,fear
0.125,0.09000000000000001,0.16,0.21,0.41500000000000004,fear
0.07,0.0,0.21,0.43,0.29,sad
0.0,0.07,0.0,0.37,0.5549999999999999,fear
0.0,0.0,0.0,0.67,0.33,sad
0.075,0.08,0.04,0.155,0.655,fear
0.045,0.07,0.045,0.115,0.725,fear
0.145,0.0,0.145,0.07,0.645,fear
0.15,0.0,0.10666666666666667,0.27666666666666667,0.45999999999999996,fear
0.14333333333333334,0.0,0.06666666666666667,0.08,0.37333333333333335,fear
0.1,0.0,0.0,0.3,0.6,fear
0.0,0.1,0.1,0.38,0.43,fear
0.145,0.0,0.17,0.315,0.37,fear
0.08499999999999999,0.0,0.075,0.37,0.46499999999999997,fear
0.0075,0.02,0.08750000000000001,0.44000000000000006,0.4475,fear
0.11499999999999999,0.06,0.105,0.12,0.5900000000000001,fear
0.07,0.07,0.14,0.07,0.64,fear
0.165,0.0,0.25,0.25,0.335,fear
0.03,0.14,0.03,0.305,0.5,fear
0.055,0.075,0.105,0.085,0.675,fear
0.155,0.015,0.16,0.245,0.43,fear
0.065,0.095,0.27499999999999997,0.065,0.495,fear
0.0,0.06,0.12,0.38,0.44,fear
0.185,0.185,0.125,0.0,0.5,fear
0.0,0.0,0.0,0.5,0.5,sad
0.15,0.15,0.3,0.25,0.15,surprise
0.055,0.0,0.055,0.155,0.735,fear
0.0,0.0,0.19,0.19,0.62,fear
0.055,0.0,0.27,0.23,0.44999999999999996,fear
0.165,0.0,0.09,0.135,0.6100000000000001,fear
0.19,0.01,0.07,0.21500000000000002,0.51,fear
0.045,0.02,0.315,0.045,0.575,fear
0.1,0.07,0.07,0.13,0.63,fear
0.135,0.085,0.165,0.35,0.265,sad
0.25,0.0,0.0,0.0,0.75,fear
0.0,0.2,0.0,0.2,0.6,fear
0.045,0.0,0.09,0.045,0.8200000000000001,fear
0.0,0.0,0.0,0.2,0.8,fear
0.0,0.0,0.05,0.5,0.45,sad
1.0,0.0,0.0,0.0,0.0,happy
0.11,0.08333333333333333,0.02666666666666667,0.06666666666666667,0.7133333333333334,fear
0.09181818181818181,0.02181818181818182,0.07545454545454545,0.018181818181818184,0.61,fear
0.0,0.02,0.0,0.2125,0.7675000000000001,fear
0.22999999999999998,0.0,0.04,0.02,0.71,fear
0.12,0.0,0.0,0.38,0.5,fear
0.14,0.0,0.095,0.33,0.43,fear
0.19,0.0,0.06,0.25,0.5,fear
0.07500000000000001,0.0,0.23666666666666666,0.24666666666666667,0.43999999999999995,fear
0.0,0.05,0.09,0.23,0.64,fear
0.0,0.0,0.1,0.3,0.6,fear
0.0525,0.0125,0.0525,0.51,0.1225,sad
0.08,0.025,0.14,0.215,0.54,fear
0.11,0.04,0.11,0.14,0.595,fear
0.05,0.07,0.315,0.195,0.37,fear
0.0,0.0,0.06,0.25,0.19,sad
0.016666666666666666,0.03666666666666667,0.06,0.36000000000000004,0.5233333333333333,fear
0.125,0.0,0.06,0.25,0.56,fear
0.0,0.06,0.08,0.25,0.61,fear
0.030000000000000002,0.045,0.21750000000000003,0.32,0.1375,sad
0.08,0.04,0.04,0.12,0.72,fear
0.10500000000000001,0.0,0.0,0.36,0.535,fear
0.34,0.04,0.13333333333333333,0.05333333333333334,0.43,fear
0.1,0.0,0.17,0.38,0.35,sad
0.05,0.0,0.11,0.32,0.53,fear
0.33,0.33,0.33,0.0,0.0,happy
0.0,0.0,0.14,0.14,0.71,fear
0.015,0.015,0.07,0.16,0.735,fear
0.17,0.0,0.0,0.33,0.5,fear
0.12,0.0,0.0,0.62,0.25,sad
0.0,0.18,0.0,0.27,0.55,fear
0.2,0.04,0.16,0.22,0.38,fear
0.1625,0.0,0.055,0.3925,0.39,sad
0.0,0.0,0.0,0.0,0.0,happy
0.1,0.1,0.2,0.0,0.6,fear
0.07,0.07,0.27,0.0,0.6,fear
0.0,0.0,0.25,0.25,0.5,fear
1.0,0.0,0.0,0.0,0.0,happy
